,Unnamed: 0,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,0,790,2019-12-01 00:01:25.3240,2019-12-01 00:14:35.3350,370,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,33,Kenmore Square,42.348706,-71.097009,5133,Subscriber,1950,1
1,1,166,2019-12-01 00:05:42.8610,2019-12-01 00:08:29.3830,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2653,Subscriber,1993,1
2,2,323,2019-12-01 00:08:28.5560,2019-12-01 00:13:52.4340,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,4875,Subscriber,1992,1
3,3,709,2019-12-01 00:08:38.5970,2019-12-01 00:20:27.6470,185,Third at Binney,42.36544486137399,-71.08277142047882,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,2116,Subscriber,1997,1
4,4,332,2019-12-01 00:10:08.8160,2019-12-01 00:15:41.0510,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,6156,Subscriber,1985,1
5,5,507,2019-12-01 00:14:26.2820,2019-12-01 00:22:53.3980,177,University Park,42.36264779118595,-71.10006093978882,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,3981,Subscriber,1990,1
6,6,794,2019-12-01 00:17:46.9530,2019-12-01 00:31:01.8310,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,2408,Subscriber,1988,2
7,7,1354,2019-12-01 00:18:19.6990,2019-12-01 00:40:54.2900,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,409,Elm St at White St,42.38952436305763,-71.11694140364307,3411,Subscriber,1992,1
8,8,1227,2019-12-01 00:19:01.5260,2019-12-01 00:39:29.1770,21,Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,3750,Subscriber,1963,1
9,9,1068,2019-12-01 00:24:41.4710,2019-12-01 00:42:29.9070,21,Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,405,Sydney St at Carson St,42.32039374304257,-71.05355408051764,2482,Customer,1995,1
10,10,665,2019-12-01 00:26:34.4280,2019-12-01 00:37:40.1220,391,Encore,42.39329263225162,-71.0724475979805,94,Main St at Austin St,42.375603,-71.064608,5986,Customer,1988,1
11,11,676,2019-12-01 00:26:52.4870,2019-12-01 00:38:08.9950,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,141,Kendall Street,42.36356015842989,-71.08216792345047,4016,Subscriber,1987,2
12,12,535,2019-12-01 00:28:20.2370,2019-12-01 00:37:15.9020,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,5385,Subscriber,1993,1
13,13,1255,2019-12-01 00:29:24.0870,2019-12-01 00:50:19.2300,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,2749,Subscriber,1994,1
14,14,1124,2019-12-01 00:29:56.2420,2019-12-01 00:48:40.5180,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,66,Commonwealth Ave at Griggs St,42.34922469338298,-71.13275302578586,5028,Customer,1969,0
15,15,1553,2019-12-01 00:30:29.7160,2019-12-01 00:56:23.6030,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,378,191 Beacon St,42.38032335045416,-71.10878612855231,4262,Subscriber,1993,2
16,16,1483,2019-12-01 00:31:02.0260,2019-12-01 00:55:45.1840,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,378,191 Beacon St,42.38032335045416,-71.10878612855231,5615,Subscriber,1985,1
17,17,476,2019-12-01 00:34:06.8610,2019-12-01 00:42:03.1900,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,81,Chinatown T Stop,42.352409,-71.062679,3032,Customer,1988,1
18,18,243,2019-12-01 00:36:20.8030,2019-12-01 00:40:24.5000,380,Mass Ave at Albany St,42.36135837662249,-71.09670273977825,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,5687,Subscriber,1994,1
19,19,518,2019-12-01 00:39:24.5270,2019-12-01 00:48:03.2200,81,Chinatown T Stop,42.352409,-71.062679,60,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,4880,Customer,1969,0
20,20,443,2019-12-01 00:41:06.5420,2019-12-01 00:48:30.4550,81,Chinatown T Stop,42.352409,-71.062679,60,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,2712,Customer,1969,0
21,21,208,2019-12-01 00:43:06.3410,2019-12-01 00:46:35.2520,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,377,Perry Park,42.37927324600841,-71.10341902831351,5009,Subscriber,1988,1
22,22,555,2019-12-01 00:49:13.1130,2019-12-01 00:58:28.3710,4,Tremont St at E Berkeley St,42.345392,-71.069616,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,3718,Subscriber,1993,1
23,23,584,2019-12-01 00:50:56.8090,2019-12-01 01:00:41.7310,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,163,The Lawn on D,42.344792,-71.044024,5470,Customer,1992,1
24,24,472,2019-12-01 00:52:18.9060,2019-12-01 01:00:11.6360,59,Chinatown Gate Plaza,42.351356,-71.059367,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,4200,Subscriber,1970,1
25,25,2043,2019-12-01 00:52:59.9750,2019-12-01 01:27:03.5420,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,4387,Subscriber,1993,1
26,26,614,2019-12-01 00:55:32.1760,2019-12-01 01:05:46.3060,372,Boylston St at Exeter St,42.349589423682445,-71.0794677917329,60,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,4869,Subscriber,1994,1
27,27,535,2019-12-01 00:56:49.0460,2019-12-01 01:05:44.4830,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,361,Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,2934,Subscriber,1998,1
28,28,1775,2019-12-01 00:57:58.4480,2019-12-01 01:27:34.3030,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,403,Marion St at Harvard St,42.33978052668946,-71.12133350232398,5582,Subscriber,1980,1
29,29,359,2019-12-01 01:00:01.3640,2019-12-01 01:06:00.9340,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,366,Broadway T Stop,42.34278116224413,-71.05747275072645,4192,Customer,1991,1
30,30,712,2019-12-01 01:03:17.2600,2019-12-01 01:15:10.0130,367,Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852,330,30 Dane St,42.38100143038052,-71.10402522613185,3358,Subscriber,1989,1
31,31,967,2019-12-01 01:06:26.3250,2019-12-01 01:22:34.2310,6,Cambridge St at Joy St,42.36121165307985,-71.06530619789737,139,Dana Park,42.36178043960605,-71.10809952020645,5806,Customer,1969,0
32,32,287,2019-12-01 01:07:03.9950,2019-12-01 01:11:51.2430,107,Ames St at Main St,42.3625,-71.08822,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,4086,Subscriber,1989,1
33,33,201,2019-12-01 01:09:33.7980,2019-12-01 01:12:55.7370,272,Shawmut T Stop,42.292917,-71.06575,349,Washington St at Talbot Ave,42.290333,-71.071806,6049,Customer,1985,1
34,34,186,2019-12-01 01:15:06.6000,2019-12-01 01:18:12.8840,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,5541,Customer,1993,1
